(-66.1057, 18.466299985985447)
(51.524499999999996, 25.274699986429166)
(15.2832, -4.2657999953267485)
(55.450399999999995, -20.88229998579899)
(26.104299999999995, 44.432799995101554)
(37.6218, 55.75499999802094)
(30.057899999999993, -1.9473999978318077)
(-62.85080000000001, 17.89619998609051)
(-60.99099999999999, 14.005999987453777)
(-63.083, 18.073099986055364)
(-61.224799999999995, 13.158699987900029)
(12.450000000000001, 43.933299994903784)
(46.709599999999995, 24.6904999862816)
(-17.444100000000002, 14.693699987130447)
(20.4633, 44.81759999524992)
(-13.2299, 8.483999991251643)
(103.8501, 1.2896999985606268)
(17.106699999999996, 48.14819999638511)
(14.505099999999999, 46.05109999570183)
(45.34349999999999, 2.041599997727891)
(18.423199999999998, -33.92579999007891)
(126.97779999999999, 37.568299991956266)
(31.582499999999996, 4.851699994716715)
(-3.7026, 40.41649999335991)
(79.8478, 6.931899992656735)
(32.5324, 15.551799986776455)
(-55.166799999999995, 5.866399993689389)
(15.6333, 78.22319999942496)
(18.0649, 59.332599998431604)
(7.4474, 46.94809999600727)
(36.3084, 33.50859998986558)
(121.5457, 25.046999986369563)
(68.7791, 38.53579999244425)
(35.7395, -6.172199993387849)
(100.52519999999998, 13.7219999875975)
(125.5668, -8.560099991186098)
(1.2122999999999997, 6.137499993421862)
(-61.51659999999998, 10.6661999895087)
(10.1658, 36.81899999157288)
(32.8543, 39.91989999312313)
(58.383300000000006, 37.94999999214988)
(-71.1419, 21.461199985814073)
(32.58219999999999, 0.31629999964639366)
(30.518600000000003, 50.4453999970116)
(54.361799999999995, 24.464799986229362)
(-0.1257, 51.50849999726007)
(-77.03639999999999, 38.895099992622946)
(-56.1674, -34.83349999054656)
(69.2163, 41.2646999937546)
(12.4533, 41.90239999404257)
(-66.87920000000001, 10.48799998963987)
(105.84120000000001, 21.02449998580063)
(-13.194692, 27.14824898701301)
(44.2078, 15.353099986853504)
(28.2771, -15.413399986829818)
(31.0539, -17.829399986104377)
